Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /posts,35034,65,63,82,91,135,35,1101,0.000%,291.91594,8235.91,39.34
TOTAL,35034,65,63,82,91,135,35,1101,0.000%,291.91594,8235.91,39.34
