Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET /posts,35034,65,35,1101,18.04,0.000%,291.91594,8235.91,39.34,28890.4
TOTAL,35034,65,35,1101,18.04,0.000%,291.91594,8235.91,39.34,28890.4
