Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET /posts,2324,47,45,54,60,79,35,187,0.000%,19.34587,545.81,2.61
TOTAL,2324,47,45,54,60,79,35,187,0.000%,19.34587,545.81,2.61
